title,ref,location,mileage,specs,transmission,engine_capacity,seller_expectation,current_bid,auction_status,auction_end_date,live_time,cache_key,scraped_at
2015 Jeep Grand Cherokee Limited,Ref# 422540,Dubai,"136,613 km",GCC Specs,Automatic,3600 cc,"AED 40,330","AED 25,000",Ended,"Jan 28, 2026  at 8:11 PM",Wednesday at 7:51 PM,2015_Jeep_Grand_Cherokee_Limited_Wednesday_751PM,2026-01-28 16:58:35.369360
2016 Mercedes-Benz AMG Gt,Ref# 421393,Abu Dhabi,"59,838 km",GCC Specs,Automatic,4000 cc,"AED 240,350","AED 136,500",Ended,"Jan 28, 2026  at 8:04 PM",Wednesday at 7:45 PM,2016_MercedesBenz_AMG_Gt_Wednesday_745PM,2026-01-28 16:58:47.543769
2020 GMC Sierra Shaheen Edition,Ref# 421518,Abu Dhabi,"266,287 km",GCC Specs,Automatic,6200 cc,"AED 126,140","AED 85,000",Ended,"Jan 28, 2026  at 8:00 PM",Wednesday at 7:40 PM,2020_GMC_Sierra_Shaheen_Edition_Wednesday_740PM,2026-01-28 16:58:59.767836
2017 Toyota Land Cruiser GXR,Ref# 420665,Dubai,"105,991 km",GCC Specs,Automatic,4600 cc,"AED 161,975","AED 128,500",Ended,"Jan 28, 2026  at 7:52 PM",Wednesday at 7:36 PM,2017_Toyota_Land_Cruiser_GXR_Wednesday_736PM,2026-01-28 16:59:17.640159
2019 Audi Q8 3.0 TFSI Quattro,Ref# 421585,Abu Dhabi,"103,868 km",GCC Specs,Automatic,3000 cc,"AED 151,525","AED 119,000",Ended,"Jan 28, 2026  at 7:55 PM",Wednesday at 7:36 PM,2019_Audi_Q8_30_TFSI_Quattro_Wednesday_736PM,2026-01-28 16:59:29.851406
2024 Mazda CX-30 Other,Ref# 421577,Dubai,"17,120 km",GCC Specs,Automatic,2000 cc,"AED 84,800","AED 62,000",Ended,"Jan 28, 2026  at 7:53 PM",Wednesday at 7:36 PM,2024_Mazda_CX30_Other_Wednesday_736PM,2026-01-28 16:59:43.819082
2016 Land Rover Range Rover Sport Hse,Ref# 421065,Abu Dhabi,"131,346 km",GCC Specs,Automatic,3000 cc,"AED 72,080","AED 41,500",Ended,"Jan 28, 2026  at 7:50 PM",Wednesday at 7:35 PM,2016_Land_Rover_Range_Rover_Sport_Hse_Wednesday_735PM,2026-01-28 17:00:02.108291
2023 JAC J7 Standard,Ref# 422323,Dubai,"20,034 km",GCC Specs,Automatic,1500 cc,"AED 43,600","AED 28,000",Ended,"Jan 28, 2026  at 7:37 PM",Wednesday at 7:20 PM,2023_JAC_J7_Standard_Wednesday_720PM,2026-01-28 17:00:14.247860
2015 Nissan Altima S,Ref# 422813,Abu Dhabi,"171,175 km",GCC Specs,Automatic,2500 cc,"AED 28,990","AED 7,750",Ended,"Jan 28, 2026  at 7:39 PM",Wednesday at 7:20 PM,2015_Nissan_Altima_S_Wednesday_720PM,2026-01-28 17:00:26.405762
2019 Nissan Altima SV,Ref# 422245,Dubai,"158,682 km",GCC Specs,Automatic,2500 cc,"AED 45,780","AED 33,000",Ended,"Jan 28, 2026  at 7:39 PM",Wednesday at 7:20 PM,2019_Nissan_Altima_SV_Wednesday_720PM,2026-01-28 17:00:43.544507
2019 BMW X5 40i M-Kit,Ref# 420826,Abu Dhabi,"189,483 km",GCC Specs,Automatic,3000 cc,"AED 106,000","AED 79,000",Ended,"Jan 28, 2026  at 7:29 PM",Wednesday at 7:06 PM,2019_BMW_X5_40i_MKit_Wednesday_706PM,2026-01-28 17:00:55.694192
2024 BMW i5 eDrive 40,Ref# 357771,Dubai,"12,686 km",GCC Specs,Automatic,84.4 cc,"AED 245,575","AED 131,500",Ended,"Jan 28, 2026  at 7:05 PM",Wednesday at 6:51 PM,2024_BMW_i5_eDrive_40_Wednesday_651PM,2026-01-28 17:01:07.876953
2025 Tesla Model 3 Performance,Ref# 420339,Abu Dhabi,"20,396 km",GCC Specs,Automatic,82 cc,"AED 198,550","AED 155,000",Ended,"Jan 28, 2026  at 7:06 PM",Wednesday at 6:51 PM,2025_Tesla_Model_3_Performance_Wednesday_651PM,2026-01-28 17:01:24.951956
2016 Nissan Juke S,Ref# 419216,Dubai,"204,056 km",GCC Specs,Automatic,1600 cc,"AED 24,530","AED 11,000",Ended,"Jan 28, 2026  at 7:00 PM",Wednesday at 6:45 PM,2016_Nissan_Juke_S_Wednesday_645PM,2026-01-28 17:01:37.008945
2014 BMW 4-Series 420i,Ref# 422747,Dubai,"156,823 km",GCC Specs,Automatic,2000 cc,"AED 33,450","AED 17,500",Ended,"Jan 28, 2026  at 6:50 PM",Wednesday at 6:36 PM,2014_BMW_4Series_420i_Wednesday_636PM,2026-01-28 17:01:49.180246
2016 Nissan Juke S,Ref# 422530,Dubai,"69,936 km",GCC Specs,Automatic,1600 cc,"AED 24,530","AED 18,000",Ended,"Jan 28, 2026  at 6:55 PM",Wednesday at 6:35 PM,2016_Nissan_Juke_S_Wednesday_635PM,2026-01-28 17:02:01.271988
